Monthly Revenue Trends By Year and Month,,,
,,,
,,,
year ,month,year  month,total_revenue
2003,1,2003 1," $129,753.60 "
2003,2,2003 2," $140,836.19 "
2003,3,2003 3," $174,504.90 "
2003,4,2003 4," $201,609.55 "
2003,5,2003 5," $192,673.11 "
2003,6,2003 6," $168,082.56 "
2003,7,2003 7," $187,731.88 "
2003,8,2003 8," $197,809.30 "
2003,9,2003 9," $263,973.36 "
2003,10,2003 10," $568,290.97 "
2003,11,2003 11," $1,029,837.66 "
2003,12,2003 12," $261,876.46 "
2004,1,2004 1," $316,577.42 "
2004,2,2004 2," $311,419.53 "
2004,3,2004 3," $205,733.73 "
2004,4,2004 4," $206,148.12 "
2004,5,2004 5," $273,438.39 "
2004,6,2004 6," $286,674.22 "
2004,7,2004 7," $327,144.09 "
2004,8,2004 8," $461,501.27 "
2004,9,2004 9," $320,750.91 "
2004,10,2004 10," $552,924.25 "
2004,11,2004 11," $1,089,048.01 "
2004,12,2004 12," $372,802.66 "
2005,1,2005 1," $339,543.42 "
2005,2,2005 2," $358,186.18 "
2005,3,2005 3," $374,262.76 "
2005,4,2005 4," $261,633.29 "
2005,5,2005 5," $457,861.06 "
